auroc,budget,clean_abstention,exact_error,family,model,n,stratum,stratum_type,task,within_one
,,nan,0.22580645161290322,math,llama31_8b,31,q1,error_position_quartile,local,0.45161290322580644
,,nan,0.2564102564102564,math,llama31_8b,39,q2,error_position_quartile,local,0.48717948717948717
,,nan,0.23076923076923078,math,llama31_8b,26,q3,error_position_quartile,local,0.4230769230769231
,,nan,0.4166666666666667,math,llama31_8b,12,q4,error_position_quartile,local,0.5833333333333334
,,0.6486486486486487,nan,math,llama31_8b,74,answer_correct_process_clean,answer_process_stratum,local,nan
,,nan,0.3333333333333333,math,llama31_8b,18,answer_correct_process_error,answer_process_stratum,local,0.6666666666666666
,,nan,0.24444444444444444,math,llama31_8b,90,answer_wrong_process_error,answer_process_stratum,local,0.43333333333333335
0.7790834312573442,64,,,math,llama31_8b,60,short,length_stratum,online,
0.6914285714285715,128,,,math,llama31_8b,55,short,length_stratum,online,
0.5655172413793103,64,,,math,llama31_8b,59,medium,length_stratum,online,
0.4850574712643678,128,,,math,llama31_8b,59,medium,length_stratum,online,
0.6008316008316009,64,,,math,llama31_8b,63,long,length_stratum,online,
0.5301455301455301,128,,,math,llama31_8b,63,long,length_stratum,online,
,,0.5,0.20588235294117646,olympiadbench,llama31_8b,52,long,length_stratum,local,0.47058823529411764
,,0.5,0.18421052631578946,olympiadbench,llama31_8b,62,medium,length_stratum,local,0.3684210526315789
,,0.7692307692307693,0.21052631578947367,olympiadbench,llama31_8b,77,short,length_stratum,local,0.39473684210526316
,,0.6296296296296297,nan,olympiadbench,llama31_8b,81,clean,error_position_quartile,local,nan
,,nan,0.14285714285714285,olympiadbench,llama31_8b,35,q1,error_position_quartile,local,0.42857142857142855
,,nan,0.2903225806451613,olympiadbench,llama31_8b,31,q2,error_position_quartile,local,0.45161290322580644
,,nan,0.2727272727272727,olympiadbench,llama31_8b,22,q3,error_position_quartile,local,0.45454545454545453
,,nan,0.09090909090909091,olympiadbench,llama31_8b,22,q4,error_position_quartile,local,0.2727272727272727
,,0.6296296296296297,nan,olympiadbench,llama31_8b,81,answer_correct_process_clean,answer_process_stratum,local,nan
,,nan,0.1724137931034483,olympiadbench,llama31_8b,29,answer_correct_process_error,answer_process_stratum,local,0.4482758620689655
,,nan,0.20987654320987653,olympiadbench,llama31_8b,81,answer_wrong_process_error,answer_process_stratum,local,0.3950617283950617
0.625,64,,,olympiadbench,llama31_8b,77,short,length_stratum,online,
0.6638888888888889,128,,,olympiadbench,llama31_8b,77,short,length_stratum,online,
0.5111111111111111,64,,,olympiadbench,llama31_8b,62,medium,length_stratum,online,
0.5312169312169313,128,,,olympiadbench,llama31_8b,62,medium,length_stratum,online,
0.5318181818181819,64,,,olympiadbench,llama31_8b,52,long,length_stratum,online,
0.5227272727272727,128,,,olympiadbench,llama31_8b,52,long,length_stratum,online,
,,0.16666666666666666,0.1346153846153846,omnimath,llama31_8b,58,long,length_stratum,local,0.28846153846153844
,,0.5454545454545454,0.13513513513513514,omnimath,llama31_8b,48,medium,length_stratum,local,0.3783783783783784
,,0.5,0.3076923076923077,omnimath,llama31_8b,80,short,length_stratum,local,0.6346153846153846
,,0.4666666666666667,nan,omnimath,llama31_8b,45,clean,error_position_quartile,local,nan
,,nan,0.13953488372093023,omnimath,llama31_8b,43,q1,error_position_quartile,local,0.3953488372093023
,,nan,0.29411764705882354,omnimath,llama31_8b,51,q2,error_position_quartile,local,0.5686274509803921
,,nan,0.13043478260869565,omnimath,llama31_8b,23,q3,error_position_quartile,local,0.34782608695652173
,,nan,0.16666666666666666,omnimath,llama31_8b,24,q4,error_position_quartile,local,0.3333333333333333
,,0.4666666666666667,nan,omnimath,llama31_8b,45,answer_correct_process_clean,answer_process_stratum,local,nan
,,nan,0.13636363636363635,omnimath,llama31_8b,44,answer_correct_process_error,answer_process_stratum,local,0.4772727272727273
,,nan,0.2268041237113402,omnimath,llama31_8b,97,answer_wrong_process_error,answer_process_stratum,local,0.422680412371134
0.5570175438596491,64,,,omnimath,llama31_8b,80,short,length_stratum,online,
0.587719298245614,128,,,omnimath,llama31_8b,80,short,length_stratum,online,
0.41608391608391615,64,,,omnimath,llama31_8b,48,medium,length_stratum,online,
0.5,128,,,omnimath,llama31_8b,48,medium,length_stratum,online,
0.5070785070785071,64,,,omnimath,llama31_8b,58,long,length_stratum,online,
0.4247104247104247,128,,,omnimath,llama31_8b,58,long,length_stratum,online,
