auprc,auroc,budget,calibration_f1,candidate,clean_abstention,exact_error,f1,family,n,primary,task,threshold,variant,within_one
,,,,online_fusion__ordinary,,,,olympiadbench,0,0.6295518207282913,online,,ordinary,
0.6442872580437577,0.6281512605042018,64,,online_fusion__upcr_compat,,,,olympiadbench,200,0.6281512605042018,online_budget,,upcr_compat,
0.6188947817833679,0.6368547418967587,128,,online_fusion__upcr_compat,,,,olympiadbench,200,0.6368547418967587,online_budget,,upcr_compat,
,,,,online_fusion__upcr_compat,,,,olympiadbench,0,0.6325030012004802,online,,upcr_compat,
0.6457958310170586,0.6294517807122849,64,,online_fusion__uniform_laplacian,,,,olympiadbench,200,0.6294517807122849,online_budget,,uniform_laplacian,
0.617814086673101,0.6322529011604642,128,,online_fusion__uniform_laplacian,,,,olympiadbench,200,0.6322529011604642,online_budget,,uniform_laplacian,
,,,,online_fusion__uniform_laplacian,,,,olympiadbench,0,0.6308523409363745,online,,uniform_laplacian,
0.6469074298548763,0.6291516606642656,64,,online_fusion__dufs_laplacian,,,,olympiadbench,200,0.6291516606642656,online_budget,,dufs_laplacian,
0.6182088774487824,0.632953181272509,128,,online_fusion__dufs_laplacian,,,,olympiadbench,200,0.632953181272509,online_budget,,dufs_laplacian,
,,,,online_fusion__dufs_laplacian,,,,olympiadbench,0,0.6310524209683873,online,,dufs_laplacian,
0.6132240835071122,0.5883353341336536,64,,online_fusion__hierarchical,,,,olympiadbench,200,0.5883353341336536,online_budget,,hierarchical,
0.5923449011344429,0.6055422168867547,128,,online_fusion__hierarchical,,,,olympiadbench,200,0.6055422168867547,online_budget,,hierarchical,
,,,,online_fusion__hierarchical,,,,olympiadbench,0,0.5969387755102041,online,,hierarchical,
,,,0.3196709124250384,local_fusion__equal,0.5818181818181818,0.20714285714285716,0.3055144032921811,omnimath,195,0.3055144032921811,local,1.6123520260596667,equal,0.40714285714285714
,,,0.3319394108354243,local_fusion__ordinary,0.5818181818181818,0.20714285714285716,0.3055144032921811,omnimath,195,0.3055144032921811,local,1.2689363847388768,ordinary,0.4142857142857143
,,,0.32893202071571875,local_fusion__upcr_compat,0.5818181818181818,0.22142857142857142,0.32077607113985446,omnimath,195,0.32077607113985446,local,2.1795014513242705,upcr_compat,0.42142857142857143
,,,0.32893202071571875,local_fusion__uniform_laplacian,0.5818181818181818,0.20714285714285716,0.3055144032921811,omnimath,195,0.3055144032921811,local,1.175631099137649,uniform_laplacian,0.4142857142857143
,,,0.32672001515223265,local_fusion__dufs_laplacian,0.5818181818181818,0.20714285714285716,0.3055144032921811,omnimath,195,0.3055144032921811,local,1.17672966037656,dufs_laplacian,0.42142857142857143
,,,0.32276947920872023,local_fusion__hierarchical,0.5454545454545454,0.22857142857142856,0.3221476510067114,omnimath,195,0.3221476510067114,local,1.1578554796473803,hierarchical,0.42857142857142855
,,,0.3296869105997737,local_fusion__temporal_laplacian,0.5636363636363636,0.2,0.29523809523809524,omnimath,195,0.29523809523809524,local,1.153697655519725,temporal_laplacian,0.42857142857142855
0.4577811095388733,0.49134655972984376,64,,online_fusion__equal,,,,omnimath,195,0.49134655972984376,online_budget,,equal,
0.4860374313661507,0.5219501899535669,128,,online_fusion__equal,,,,omnimath,195,0.5219501899535669,online_budget,,equal,
,,,,online_fusion__equal,,,,omnimath,0,0.5066483748417053,online,,equal,
0.47878865459783865,0.49778387505276483,64,,online_fusion__ordinary,,,,omnimath,195,0.49778387505276483,online_budget,,ordinary,
0.508641266851612,0.5311312790206838,128,,online_fusion__ordinary,,,,omnimath,195,0.5311312790206838,online_budget,,ordinary,
,,,,online_fusion__ordinary,,,,omnimath,0,0.5144575770367243,online,,ordinary,
0.4750769084214147,0.4972562262558041,64,,online_fusion__upcr_compat,,,,omnimath,195,0.4972562262558041,online_budget,,upcr_compat,
0.5068320018546704,0.5293372731110173,128,,online_fusion__upcr_compat,,,,omnimath,195,0.5293372731110173,online_budget,,upcr_compat,
,,,,online_fusion__upcr_compat,,,,omnimath,0,0.5132967496834107,online,,upcr_compat,
0.47821082986275154,0.49810046433094124,64,,online_fusion__uniform_laplacian,,,,omnimath,195,0.49810046433094124,online_budget,,uniform_laplacian,
0.5085757650008215,0.5311312790206839,128,,online_fusion__uniform_laplacian,,,,omnimath,195,0.5311312790206839,online_budget,,uniform_laplacian,
,,,,online_fusion__uniform_laplacian,,,,omnimath,0,0.5146158716758126,online,,uniform_laplacian,
0.47821082986275154,0.49810046433094124,64,,online_fusion__dufs_laplacian,,,,omnimath,195,0.49810046433094124,online_budget,,dufs_laplacian,
0.5085757650008215,0.5311312790206839,128,,online_fusion__dufs_laplacian,,,,omnimath,195,0.5311312790206839,online_budget,,dufs_laplacian,
,,,,online_fusion__dufs_laplacian,,,,omnimath,0,0.5146158716758126,online,,dufs_laplacian,
0.4807159985290249,0.49968341072182354,64,,online_fusion__hierarchical,,,,omnimath,195,0.49968341072182354,online_budget,,hierarchical,
0.48703955146712136,0.5134022794428029,128,,online_fusion__hierarchical,,,,omnimath,195,0.5134022794428029,online_budget,,hierarchical,
,,,,online_fusion__hierarchical,,,,omnimath,0,0.5065428450823133,online,,hierarchical,
