ablation,clean_abstention,detector_unchanged,exact_error,f1,family,model,n,primary,task,within_one
family::entropy_level,0.6296296296296297,True,0.22727272727272727,0.33398821218074654,olympiadbench,llama31_8b,191,0.33398821218074654,local,0.4
family::entropy_dynamics,0.6296296296296297,True,0.18181818181818182,0.28215767634854777,olympiadbench,llama31_8b,191,0.28215767634854777,local,0.36363636363636365
family::structural,0.6296296296296297,True,0.2,0.3035714285714286,olympiadbench,llama31_8b,191,0.3035714285714286,local,0.38181818181818183
family::sampled_energy,0.6296296296296297,True,0.20909090909090908,0.313930148534725,olympiadbench,llama31_8b,191,0.313930148534725,local,0.41818181818181815
family::partition_energy,0.6296296296296297,True,0.20909090909090908,0.313930148534725,olympiadbench,llama31_8b,191,0.313930148534725,local,0.4
family::topk_distribution,0.6296296296296297,True,0.23636363636363636,0.343701399688958,olympiadbench,llama31_8b,191,0.343701399688958,local,0.4090909090909091
primitive::entropy,0.6296296296296297,True,0.2,0.3035714285714286,olympiadbench,llama31_8b,191,0.3035714285714286,local,0.39090909090909093
primitive::sampled_energy,0.6296296296296297,True,0.20909090909090908,0.313930148534725,olympiadbench,llama31_8b,191,0.313930148534725,local,0.41818181818181815
primitive::partition_energy,0.6296296296296297,True,0.20909090909090908,0.313930148534725,olympiadbench,llama31_8b,191,0.313930148534725,local,0.4
primitive::topk_distribution,0.6296296296296297,True,0.23636363636363636,0.343701399688958,olympiadbench,llama31_8b,191,0.343701399688958,local,0.4090909090909091
family::entropy_level,0.4666666666666667,True,0.19148936170212766,0.271551724137931,omnimath,llama31_8b,186,0.271551724137931,local,0.425531914893617
family::entropy_dynamics,0.4666666666666667,True,0.19858156028368795,0.2786069651741294,omnimath,llama31_8b,186,0.2786069651741294,local,0.4326241134751773
family::structural,0.4666666666666667,True,0.2127659574468085,0.29227557411273486,omnimath,llama31_8b,186,0.29227557411273486,local,0.46099290780141844
family::sampled_energy,0.4666666666666667,True,0.19858156028368795,0.2786069651741294,omnimath,llama31_8b,186,0.2786069651741294,local,0.41134751773049644
family::partition_energy,0.4666666666666667,True,0.2198581560283688,0.2988980716253444,omnimath,llama31_8b,186,0.2988980716253444,local,0.46808510638297873
family::topk_distribution,0.4666666666666667,True,0.1773049645390071,0.25697503671071953,omnimath,llama31_8b,186,0.25697503671071953,local,0.41843971631205673
primitive::entropy,0.4666666666666667,True,0.19148936170212766,0.271551724137931,omnimath,llama31_8b,186,0.271551724137931,local,0.425531914893617
primitive::sampled_energy,0.4666666666666667,True,0.19858156028368795,0.2786069651741294,omnimath,llama31_8b,186,0.2786069651741294,local,0.41134751773049644
primitive::partition_energy,0.4666666666666667,True,0.2198581560283688,0.2988980716253444,omnimath,llama31_8b,186,0.2988980716253444,local,0.46808510638297873
primitive::topk_distribution,0.4666666666666667,True,0.1773049645390071,0.25697503671071953,omnimath,llama31_8b,186,0.25697503671071953,local,0.41843971631205673
